<s> `l_ey `ah_p </s>	レイアップ	レアップ
<s> `p_aa l_ih `n_uw k_l_iy ax `t_ay_d </s>	ポリヌクレオチド	ポリニュークリアチード
<s> ax jh_uw v_ax_n_t </s>	アジュバント	アジュバント
<s> `v_iy n_ax_s </s>	ビーナス	ビナ
<s> `s_eh p_iy ax </s>	セピア	セピア
<s> s_ax `l_eh_k_t </s>	セレクト	シレクト
<s> `s_k_r_ow_l `b_aa_r </s>	スクロールバー	スクロールバー
<s> `s_iy `s_ao `g_ey_m </s>	シーソーゲーム	シーソーゲーム
<s> `k_l_ae s_ax f_ax `k_ey sh_ax_n </s>	クラシフィケイション	クラシフィケーション
<s> p_ax `l_ae g_r_ax </s>	ペラグラ	パラグラ
<s> `s_ih_ng `s_p_iy_l </s>	ジングシュピール	シングシュピール
<s> `jh_ay r_ow `p_ay l_ax_t </s>	ジャイロパイロット	ジャイロピレ
<s> `ao_r g_ax n_ax_s_t </s>	オルガニスト	オーガニスト
<s> `k_aw_l </s>	カウル	カウル
<s> `hh_ay p_er `ch_aa_r_jh </s>	ハイパーチャージ	ハイパーチャージ
<s> `d_uw ax_l `b_uw_t </s>	デュアルブート	デュアルブート
<s> `ae l_ax_l </s>	アリル	アリル
<s> `g_eh_s_t `s_p_iy k_er </s>	ゲストスピーカー	ゲストスピーカー
<s> `g_ih `g_aa m_ow </s>	ギガモ	ギガモ
<s> `eh s_ax_n_s </s>	エッセンス	エセンス
<s> jh_ax `p_ae_n f_aw_n `d_ey sh_ax_n </s>	ジャパンファウンデーション	ジパンファンデーション
<s> `p_eh `l_aa_r `g_ow n_iy ax_m </s>	ペラルゴニウム	パラルゴニウム
<s> `b_ae `k_w_ao t_er </s>	バックウォーター	バカタ
<s> `g_aw_jh </s>	ゴージ	ゴージ
<s> `eh b_ax `n_ay_t </s>	エボナイト	エバナイト
<s> `ih_n t_er `t_eh_k_s_t </s>	インターテキスト	インターテキスト
<s> `t_r_ae v_ax_l `w_aa_ch </s>	トラベルウォッチ	トラベルウォッチ
<s> `k_r_ih t_ih k_ax_l `th_ih_ng k_ih_ng </s>	クリティカルシンキング	クリティカルシンキング
<s> `b_ah t_r_ax_s </s>	バットレス	バト
<s> `p_r_ay v_ax_t `eh k_w_ax t_iy </s>	プライベートエクイティ	プライベートエクイティ
<s> p_r_ax `z_er_v_d `f_l_aw er </s>	プリザーブドフラワー	プロザーブドフラワー
<s> `p_aa l_ax_k_s </s>	ポルックス	ポルックス
<s> `s_er v_ow `b_r_ey_k </s>	サーボブレーキ	サーボブレーキ
<s> `k_er ax_n_t `d_r_ay_v </s>	カレントドライブ	カレントドライブ
<s> `f_ae sh_ax_n m_ax `s_aa_zh </s>	ファッションマッサージ	ファシミサージ
<s> `k_ow_l_n </s>	ケルン	ケルン
<s> `t_r_ih v_iy ax `l_ih z_ax_m </s>	トリビアリズム	トリビアリズム
<s> f_ih sh_ih_ng </s>	フィッシング	フィシング
<s> `s_eh_l_f `k_eh_r </s>	セルフケア	セルフケア
<s> `f_ih_sh `m_iy_l </s>	フィッシュミール	フィッシュミール
<s> `p_r_aa m_ih_k_s </s>	プロミックス	プロミックス
<s> `ae_k t_ih_v `s_ow l_er </s>	アクティブソーラー	アクティブソーラー
<s> `w_uh d_iy </s>	ウッディー	オド
<s> `ae k_r_ax `m_ae t_ih_k `l_eh_n_z </s>	アクロマチックレンズ	アクロマチックレンズ
<s> `w_ao `l_ay </s>	ウォールアイ	ウォールアイ
<s> `k_ih l_ax `p_aa s_k_ax_l </s>	キロパスカル	キロポスカル
<s> `p_aw er `l_ih_f t_ih_ng </s>	パワーリフティング	パワーリフティング
<s> `p_ow_s_t `m_aa d_er `n_ih z_ax_m </s>	ポストモダニズム	ポストモダニズム
<s> k_ax_n `s_er v_ax t_er </s>	コンサベーター	コンサーバタ
<s> `ih n_er </s>	インナー	イナ
<s> k_er `ih_z m_ax </s>	カリスマ	カーイズマ
<s> `s_eh_n `t_r_aa n_ih_k_s `ih_n t_er `f_ey_s </s>	セントロニクスインターフェース	セントロニクスインターフェース
<s> `jh_ae_m b_ax `l_aa ax </s>	ジャンバライヤ	ジャンバラア
<s> ih_k `s_k_l_uw s_ih_v `ao_r </s>	エクスクルーシブオア	エクスクルーシブオー
<s> k_ao_r `v_eh_t </s>	コルベット	コルベット
<s> `ih_n `f_iy_l_d </s>	インフィールド	インフィールド
<s> `p_eh g_ax s_ax_s </s>	ペガサス	パゴシス
<s> `p_aw er </s>	パワー	パワー
<s> m_er `iy_n `r_ae_n ch_ih_ng </s>	マリンランチング	マリンランチング
<s> `f_ih `l_ow_k `s_eh r_ax </s>	フィロキセラ	フィロキセラ
<s> `l_ae_p `jh_oy_n_t </s>	ラップジョイント	ラップジョイント
<s> `s_m_aa_r_t `m_iy d_iy ax </s>	スマートメディア	スマートメディア
<s> `d_aa_t `m_ey t_r_ih_k_s </s>	ドットマトリクス	ドットメートリクス
<s> k_ax `l_uw zh_ax_n </s>	コリュージョン	カロジョン
<s> p_iy `aa n_ax_f_r_t </s>	ピアノフォルテ	ピアノフォルテ
<s> r_ih `p_l_ay </s>	リプ	リプライ
<s> ax `d_ae_p t_er </s>	アダプター	アダプタ
<s> `ch_ae l_ax_n jh_er </s>	チャレンジャー	チャランジャー
<s> ax `k_aw_n_t </s>	アカウント	アカウント
<s> `m_ah_l `t_ay `hh_ey b_ax `t_ey sh_ax_n </s>	マルチハビテーション	マルチハバタシ
<s> `f_l_ay `f_ih sh_ih_ng </s>	フライフィッシング	フライフィッシング
<s> `s_p_ae_ng k_ih_ng </s>	スパンキング	スパンキング
<s> `sh_eh_f `k_ow_t </s>	シェフコート	シェフコート
<s> `m_er `k_ow `s_er </s>	メルコスール	マーコサ
<s> k_ax `m_ae_n_d ih_n `t_er p_r_ax t_er </s>	コマンドインタープリタ	カマンドインタープロタ
<s> `p_l_ae n_ih_ng </s>	プランニング	プラニング
<s> `b_ih_t `f_iy_l_d </s>	ビットフィールド	ビットフィールド
<s> `s_t_ah_m_p </s>	スタンプ	スタンプ
<s> `ae_k t_ax `v_ey sh_ax_n </s>	アクティベーション	アクティベーション
<s> m_ih `s_t_ey_k </s>	ミステイク	ミス
<s> `b_ih `t_uw m_ax_n </s>	ビチューメン	ビチューメン
<s> k_ax `l_aa m_ax t_er </s>	キロメーター	カロマタ
<s> `r_ae_t </s>	ラット	ラット
<s> `l_ow `r_ay_z `p_ae_n_t_s </s>	ローライズパンツ	ローライズパンツ
<s> `sh_aa_t k_iy `d_ay `ow_d </s>	ショットキーダイオード	ショットキーダイオード
<s> `s_p_ah_n_jh </s>	スポンジ	スポンジ
<s> `m_ae n_ih_sh `l_uh_k </s>	マニッシュルック	マニッシュルック
<s> `m_eh d_ax_k </s>	メドック	メドック
<s> `k_y_uh r_ax `s_aw </s>	キュラソー	キュリザ
<s> `r_eh_d `hh_ae_t `l_ih n_ah_k_s </s>	レッドハットリナックス	レッドハットリナックス
<s> `b_aa d_iy `s_l_ae_m </s>	ボディースラム	ボディスラム
<s> `b_ah_s_t `l_ay_n </s>	バストライン	バストライン
<s> `t_eh_k n_ih k_ax_l `f_aw_l </s>	テクニカルファウル	テクニカルファウル
<s> `eh d_ax_t </s>	エディット	エディット
<s> `sh_ow `t_ay_m </s>	ショウタイム	ショータイム
<s> `eh s_k_ao_r_t </s>	エスコート	エスコート
<s> `s_ih_ng g_ax_l `b_ao_r_d k_ax_m `p_y_uw t_er </s>	シングルボードコンピュータ	シングルボードコンピュータ
<s> `s_ih `t_r_iy_n </s>	シトリン	シトリン
<s> `n_ay_t `r_ah_n </s>	ナイトラン	ナイトラン
<s> `g_r_ae f_ih_k d_ih `z_ay n_er </s>	グラフィックデザイナー	グラフィックデザイナー
<s> `ey r_ih_r </s>	エイリール	アイリール
<s> n_ow `v_eh_m b_er </s>	ノベンバー	ノベンバー
<s> m_ax `s_aa_zh `ch_eh_r </s>	マッサージチェア	マサージチェア
<s> `f_uh_l `f_ae sh_ax_n_d </s>	フルファッション	フルファッション
<s> `ow p_ih_n d_ax_k </s>	オープンドック	オープンドック
<s> `hh_ih s_ih_ng </s>	ヒッシング	ハイシング
<s> `s_w_aa_n `b_ow_t </s>	スワンボート	スワンボート
<s> `s_aw_n_d `k_l_ih_p </s>	サウンドクリップ	サウンドクリップ
<s> `t_r_ah_k </s>	トラック	トラック
<s> k_ax_n `t_r_ow_l </s>	コントロール	コントロール
<s> `s_w_aa_ch </s>	スワッチ	スワッチ
<s> `f_eh dh_er </s>	フェザー	フェザー
<s> `m_ih n_iy `t_aw er </s>	ミニタワー	ミニタワー
<s> `hh_aa `s_p_ih t_ax `l_ih z_ax_m </s>	ホスピタリズム	ホスピタリズム
<s> `eh_k s_t_r_ax `b_eh_d </s>	エキストラベッド	エクストラベッド
<s> `ay `eh-m `iy </s>	アイエムイー	アイエムイー
<s> `eh-k-s `ow p_ax_n </s>	エックスオープン	エックスオープン
<s> `k_ow_d k_ax_n `v_er t_er </s>	コードコンバータ	コードコンバーター
<s> `f_l_ae_t `b_eh_d `s_k_ae n_er </s>	フラットベットスキャナ	フラットベッドスキャナー
<s> `g_ae l_ax `p_aa g_ow_z `p_eh_ng g_w_ax_n </s>	ガラパゴスペンギン	ガラポゴスペンギン
<s> `sh_ih_n `g_aa_r_d </s>	シンガード	シンガード
<s> `ae_k `s_eh_s `l_ao_g </s>	アクセスログ	アクセスログ
<s> `f_r_uw_t `k_aa_k `t_ey_l </s>	フルーツカクテル	フルーツコックテール
<s> `k_ow `p_ow l_ih m_er </s>	コーポリマー	コポリマー
<s> aa `d_ae s_ax t_iy </s>	オーダシティ	アダシティ
<s> sh_ih `k_ey_n </s>	シケイン	シク
<s> `s_aa_f_t `f_aa_n_t </s>	ソフトフォント	ソフトフォント
<s> `s_ay d_ih s_l_ih_p </s>	サイドスリップ	サイドスリップ
<s> `m_aa_r_k_w s_ax_s `b_ah t_er f_l_ax `f_ih_sh </s>	マルケサスバタフライフィッシュ	マルケサスバタフライアシュアア
<s> `s_ow l_er `sh_eh r_ih_ng </s>	ソーラーシェアリング	ソラセリング
<s> `m_ay_n_d `s_eh_t </s>	マインドセット	マインドセット
<s> `sh_iy_k </s>	シック	シック
<s> `t_ay_m `sh_eh r_ih_ng </s>	タイムシェアリング	タイムシェアリング
<s> `b_aa_t l_er </s>	ボトラー	ボトラー
<s> `l_aw_n_jh `ch_eh_r </s>	ラウンジチェア	ラウンジチェア
<s> `d_r_ay ax_d </s>	ドリュアス	ドライアッド
<s> `m_ae_s `m_uw_v m_ax_n_t </s>	マスムーブメント	マスムーブメント
<s> `hh_ah_ng g_r_iy `m_aa_r k_ax_t </s>	ハングリーマーケット	ハングリーマーケット
<s> `r_iy ax `l_ao d_iy ow </s>	リアルオーディオ	リアロジオ
<s> `k_ae sh_ax_n </s>	カチオン	カション
<s> p_er k_ax l_ey t_er </s>	パーコレーター	パーコレター
<s> `p_y_uh_r `l_ao_g `b_ae `k_ah_p </s>	ピュアログバックアップ	ピュアログバクアップ
<s> `ae_k t_ih_v `t_er m_ax `n_ey t_er </s>	アクティブターミネータ	アクティブターミネーター
<s> `k_ah p_ax l_er </s>	カプラー	カポラ
<s> `t_eh l_ax k_ax `n_eh_k sh_ax_n </s>	テレコネクション	テリカネクション
<s> `s_t_iy_m `t_er b_ay_n </s>	スチームタービン	スチームタービン
<s> `k_w_aa l_ax t_iy `ah_v `s_er v_ax_s </s>	クオリティオブサービス	カリティオブサービス
<s> `t_eh l_y_er `ay_d </s>	テルリド	テリエイード
<s> `f_r_uw_t `k_ey_k </s>	フルーツケーキ	フルーツケーキ
<s> `p_ae l_aw </s>	パラオ	パラオ
<s> `y_eh_s </s>	イエス	イエス
<s> `p_l_ay er_z </s>	プライヤー	プライヤー
<s> `s_eh k_ax_n_d `hh_ae_n_d </s>	セコハン	セカンドハンド
<s> `b_y_uw t_iy `s_p_aa_t </s>	ビューティースポット	ビューティースポット
<s> `b_eh_s_t `t_ay_p </s>	ベストタイプ	ベストタイプ
<s> `f_l_aa p_iy `d_ih_s_k </s>	フロッピーディスク	フロッピーディスク
<s> `k_aa m_ih_k `m_aa_r k_ax_t </s>	コミックマーケット	コミックマーケット
<s> `p_r_aa b_l_ax_m </s>	プロブレム	プロブレム
<s> r_ih `p_eh_r </s>	リペア	リペア
<s> `f_l_ae sh_ih_ng </s>	フラッシング	フシング
<s> `ae b_uw `d_aa b_iy </s>	アブダビ	アブダビ
<s> `n_ow </s>	ノー	ノー
<s> `ih_n k_r_ax `m_eh_n t_ax_l </s>	インクリメンタル	インクリメンタル
<s> `b_aa_r_n </s>	バーン	バーン
<s> `k_y_uw_t </s>	キュート	キュート
<s> `ae_k `s_eh_s `ch_aa_r_jh </s>	アクセスチャージ	アクセスチャージ
<s> `t-iy `s-iy `p-iy `ih_p </s>	ティーシーピーアイピー	ティーシーピーアイピー
<s> `l_ao g_ax_n `s_k_r_ih_p_t </s>	ログオンスクリプト	ロゲンスクリプト
<s> `f_aa_n_d </s>	フォン	フォン
<s> `eh l_ax f_ax_n_t </s>	エレファント	エリファント
<s> `r_ow k_w_ih f_er_t </s>	ロックフォール	ローキフォート
<s> `s_k_ih_m `b_ao_r_d </s>	スキムボード	スキムボード
<s> `b_eh v_ax_l `g_ih_r </s>	ベベルギヤ	ベベルギア
<s> `sh_ih_f_t `k_iy </s>	シフトキー	シフトキー
<s> `s_m_ow_k_t `s_ae m_ax_n </s>	スモークサーモン	スモークサミン
<s> p_r_ax `g_r_eh s_ih_v </s>	プログレッシブ	プログレッシブ
<s> `n_ey_m `s_er v_ax_s </s>	ネームサービス	ネームサービス
<s> `ih_n f_er `m_ey sh_ax_n s_ax `s_ay ax t_iy </s>	インフォメーションソサイエティー	インフォメーションサシアチ
<s> `s_t_r_iy_t `f_er n_ih ch_er </s>	ストリートファーニチャー	ストリートファーニチャー
<s> `b_l_uw `s_p_aa_t `b_ah t_er f_l_ax `f_ih_sh </s>	スミツキトノサマダイ	ブルースポットバタフライアシュアア
<s> `ae_th `l_iy_t </s>	アスリート	アスリート
<s> `jh_ah_ng g_ax_l </s>	ジャングル	ジャングル
<s> `r_ey d_iy ax_m `s_ao n_ax </s>	ラジウムサウナ	ラジウムサウナ
<s> `s_eh_n s_er </s>	センサー	センサー
<s> `k_iy s_ih_m </s>	キーシム	キーシム
<s> `k_ao_r b_ax </s>	コルバ	コーバ
<s> jh_er `ae_f </s>	ジラフ	ジャーアフ
<s> `p_eh n_ax `s_ih l_ax_n ax `n_ae f_ih l_ax_k s_iy </s>	ペニシリンアナフィラキシー	パナシリンアナフィラキシー
<s> `d_ih s_ih `l_uw zh_ax_n </s>	デサリュージョン	ディシルジョン
<s> `k_aa_r `d_ah_m p_er </s>	カーダンパー	カーダンパー
<s> `m_ae s_t_er `k_ow_d </s>	マスターコード	マスターコード
<s> `b_ao r_ax_jh </s>	ボリジ	ボリジ
<s> `w_ao k_er </s>	ウォーカー	ウォーカー
<s> `g_r_ih f_ax_n </s>	グリフォン	グリフォン
<s> `s_ao_r s_er er </s>	ソーサラー	ソーサワー
<s> ax `k_r_aa p_ax l_ax_s </s>	アクロポリス	アクロポリス
<s> `d_aa l_iy </s>	ドリー	ドリ
<s> `s_ow sh_ax_l `d_ae_n s_ih_ng </s>	ソーシャルダンス	ソシャダンス
<s> `jh_ae m_ih_ng </s>	ジャミング	ジャミング
<s> `w_eh_b d_ih `z_ay n_er </s>	ウェブデザイナ	ウェブデザイナー
<s> `k_ae l_ih `d_ow n_iy ax_n </s>	カレドニアン	カリドニアン
<s> b_ow l_ow_g `n_ey z_iy </s>	ボロネーゼ	ボロネーゼ
<s> `b_ah_l_k `k_aa_r `g_ow </s>	バルクカーゴ	バルクカーゴ
<s> `b_ey_s b_ax_n_d </s>	ベースバンド	ベースバンド
<s> `b_ae_k s_t_ae_b </s>	バックスタッブ	バックスタッブ
<s> `g_eh t_er </s>	ゲッター	ゲア
<s> `hh_w_ay_t `aw_t </s>	ホワイトアウト	ホワイトアウト
<s> `b_er_d `w_aa ch_er </s>	バードウオッチャー	バードウオッチャー
<s> `ae n_ax `m_ih z_ax_m </s>	アニミズム	アナミズム
<s> m_ae_n `hh_ae t_ax_n </s>	マンハッタン	マンハッタン
<s> `f_r_ah_n_t `eh_n_d </s>	フロントエンド	フロントエンド
<s> `f_l_ae_g `k_ae r_iy er </s>	フラッグキャリア	フラグカリア
<s> `s_eh_k_s </s>	セクロス	セックス
<s> `k_aa_r_d b_ax_s </s>	カードバス	カードバス
<s> `f_ih l_ax `b_ah_s t_er </s>	フィリバスター	フィリバスター
<s> `k_iy `p_l_ey_t </s>	キープレート	キープレート
<s> `f_r_ah_n_t `d_eh_s_k </s>	フロントデスク	フロントデスク
<s> `k_w_ey_k </s>	クェイク	クェイク
<s> `m_y_uw_l </s>	ミュール	ミュール
<s> `s_aa n_ih_k </s>	ソニック	ソニック
<s> `g_l_ow k_ax l_ax `z_ey sh_ax_n </s>	グローカリゼーション	グローカリゼーション
<s> b_eh_d `k_ah v_er </s>	ベッドカバー	ベッドカバー
<s> `l_ay_f `t_ay_m </s>	ライフタイム	ライフタイム
<s> `f_aa_n_t `f_ae m_ax l_iy </s>	フォントファミリ	フォントファミリ
<s> `b_l_uw `d_ey z_iy </s>	ブルーデージー	ブルーデージー
<s> `s_er v_ax_s `ae_k `s_eh_s `p_oy_n_t </s>	サービスアクセスポイント	サービスアクセスポイント
<s> `f_ih_ng g_er `b_ao_r_d </s>	フィンガーボード	フィンガーボード
<s> ax `m_ay_n </s>	アミン	アミン
<s> `ow k_l_ax `hh_ow m_ax `m_ih_k s_er </s>	オクラホマミキサー	オークラホマミキサー
<s> `l_ay_t `b_ao_k_s </s>	ライトボックス	ライトボックス
<s> `f_ey b_ax_l </s>	フェーブル	ファブル
<s> `ow p_ax_n `s_ao_r_s `s_ao_f `t_w_eh_r </s>	オープンソースソフトウェア	オープンソースソフトウェア
<s> `b_iy t_ax_l_z </s>	ビートルズ	ビートルズ
<s> `t_r_ae v_ax_l `s_eh_t </s>	トラベルセット	トラベルセット
<s> `n_ow `r_ah_n </s>	ノーラン	ノーラン
<s> `m_eh th_ax `n_ey sh_ax_n </s>	メタネーション	メタナシ
<s> `y_uw n_ax v_er `s_ae l_ax t_iy </s>	ユニバーサリティ	ユーナバーサラチ
<s> `ae s_p_ih_k </s>	アスピック	アスピック
<s> `v_ae l_y_uw ax `n_ae l_ax s_ax_s </s>	バリューアナリシス	バリューアナリシス
<s> r_iy `v_y_uw er </s>	レビュアー	リビューア
<s> `v_ih d_ih `k_aa_n </s>	ビデコン	ビデコン
<s> `ah_n d_er `p_ae_s </s>	アンダーパス	アンダーパス
<s> `hh_eh v_iy r_ow `t_ey sh_ax_n </s>	ヘビーローテーション	ヘビーロテーション
<s> `ih_n `l_ay_n d_ih `s_k_ah sh_ax_n </s>	インラインディスカッション	インラインデスカッション
<s> `d_ao_r_n f_ax_l d_er </s>	ドルンフェルダー	ドルンフェルダー
<s> r_ih `m_ow_t </s>	リモート	リモート
<s> r_iy `l_ow `k_ey t_ax b_ax_l `k_ow_d </s>	リロケータブルコード	リロケータブルコード
<s> `y_ah_k_r </s>	ユーカラ	ユーカラ
<s> `s_p_ao_r_t_s `t_r_ey n_er </s>	スポーツトレーナー	スポーツトレーナー
<s> `hh_eh_r `s_t_ay l_ih_s_t </s>	ヘアアーティスト	ヘアスタイリスト
<s> `p_ey p_er `w_ey_t </s>	ペーパーウエイト	ペーパーウエイト
<s> `ao t_ow `s_k_r_ow_l </s>	オートスクロール	オートスクロール
<s> k_ax `l_ah_m b_er_d </s>	コロンバール	カロンバール
<s> `f_ow_k `aa_r_t </s>	フォークアート	フォークアート
<s> `s_ao_r t_er </s>	ソーター	ソーター
<s> `g_aa_l_f `l_ih_ng_k_s </s>	ゴルフリンク	ゴルフリンク
<s> `p_ow_l k_aa d_ax_t `k_ae_t `sh_aa_r_k </s>	ポルカドットキャットシャーク	ポールカドットキャットシャーク
<s> `l_ay m_ax `n_iy_n </s>	リモネン	ライマネー
<s> `p_er s_ax n_ax_l `s_eh l_ih_ng </s>	パーソナルセリング	パーソナルセリング
<s> `r_ay f_ax_l </s>	ライフル	リル
<s> ae_d `m_ih sh_ax_n </s>	アドミッション	アドミシ
<s> `ao r_ax_n_jh `b_ih t_er_z </s>	オレンジビターズ	オーレンジビターズ
<s> `b_ah_s `n_eh `t_w_er_k </s>	バスネットワーク	バスネットワーク
<s> `hh_ao_r `s_p_aw er </s>	ホースパワー	ホスパワー
<s> n r_ax m_ih `n_iy `d_ey_s </s>	ノイラミニダーゼ	ノロミニダーゼ
<s> `s_l_ay d_ih_ng `s_ih s_t_ax_m </s>	スライディングシステム	スライディングシステム
<s> k_ax_m `p_y_uw t_er `s_ao_f `t_w_eh_r </s>	コンピュータソフトウェア	コンピュータソフトウェア
<s> `t_ay_m l_iy </s>	タイムリー	タイムリー
<s> `aa_r m_iy `l_uh_k </s>	アーミールック	アーミールック
<s> `s_t_r_ao `b_eh r_iy </s>	ストロベリー	ストロベリ
<s> `d_ey t_ax `m_ah_l t_iy `p_l_eh_k s_er </s>	データマルチプレクサ	データマルチプレクサ
<s> `m_ae `d_r_aa s_ax </s>	マドラサ	マドラサ
<s> `jh_ae `z_er `s_ay_z </s>	ジャザーサイズ	ジャザーサイズ
<s> `w_ah_n `b_iy_t </s>	ワンテンポ	ワンビート
<s> `t_ae l_iy </s>	タリー	タリ
<s> `th_iy ax t_er </s>	テアトロ	シアター
<s> `s_ay `t_ow `s_iy_n </s>	シトシン	サイトシン
<s> `k_ah r_iy `k_ao_r n_er </s>	カレーコーナー	カリコナ
<s> `d_ih s_k_ao_r_s </s>	ディスクール	ディスクール
<s> k_ae `s_k_ey_d `s_t_ay_l `sh_iy_t_s </s>	カスケーディングスタイルシート	カスケーディングスタイルカトカカ
<s> `d_aa_jh `l_ay_n </s>	ドッジライン	ドッジライン
<s> `s_aa_r jh_ax_n_t `m_ey jh_er </s>	サージャントメージャー	サージェントメージャー
<s> `t_w_iy t_er </s>	ツイーター	ツイーター
<s> `ae `p_ae sh_ax `n_aa t_ow </s>	アパッシオナート	アパシノト
<s> ax `s_ae s_ax_n </s>	アサシン	アサシン
<s> `sh_eh_t l_ax_n_d `p_ow n_iy </s>	シェトランドポニー	シェランドポニー
<s> `ch_eh_k `aw_t `t_ay_m </s>	チェックアウトタイム	チェックアウトタイム
<s> `r_ae s_t_aa `f_eh r_iy ax_n </s>	ラスタファリアン	ラスタファリアン
<s> `b_uw_t `r_eh k_er_d </s>	ブートレコード	ブートレコード
<s> `jh_ae_m `s_eh sh_ax_n </s>	ジャムセッション	ジャンセション
<s> `s_k_ih_t </s>	スキット	スキット
<s> `m_ay k_r_ax s_aa `t_eh `l_ay_t </s>	マイクロサテライト	マイクロサテライト
<s> `d_iy `t_aa_k_s </s>	デトックス	デトックス
<s> `d_ih jh_ih k_ax_m </s>	デジカム	ディジカ
<s> `hh_aa_t, `m_oy s_ax_n_d `hh_ae_n_d `t_aw ax_l </s>	アツシボ	ゾンデハンドタオル
<s> r_ih `m_uw v_ax b_ax_l `hh_aa_r_d `d_ih_s_k </s>	リムーバブルハードディスク	リムーバブルハードディスク
<s> `l_ay_t `v_ae_n </s>	ライトバン	ライトバン
<s> `aa_r_m `l_aa_k </s>	アームロック	アームロック
