no-hit no-run game	ノーヒットノーランゲーム
keyboard and mouse	キーマウ
Riesling	リースリング
fuzzy computer	ファジーコンピューター
scanlation	スキャンレーション
stoic	ストイック
modern	ヌーボー
encapsulation	エンカプセレーション
hyperon	ハイペロン
candlelight service	キャンドルサービス
trickster	トリックスター
pawnshop	ポーンショップ
course	コース
love affair	ラブアフェア
standby credit	スタンドバイクレジット
Blaufränkisch	ブラウフレンキッシュ
supplicant	サプリカント
purpurin	プルプリン
cushion to soften the blow	ワンクッション
caesiura dwarfgoby	ベニハゼ
kissing gourami	キッシンググラミー
hang	ハング
disk space	ディスクスペース
ventilator	ベンチレーター
glitch	グリッチ
early teens	ローティーン
decare	デカール
guidance	ガイダンス
orange card	オレンジカード
wild water	ワイルドウオーター
luxe	リュクス
user account	ユーザアカウント
desktop music	デスクトップミュージック
overdubbing	オーバーダビング
teenage mother	ギャルママ
silo	サイロ
mash	マッシュ
variegated platy	ヴァリアタス
motorcycle	オートバイ
demultiplexing	デマルチプレクス
cardigan	カーデ
hooker	フッカー
fanatic	ファナティック
iconic signs	アイコニックサイン
lip liner	リップライナー
pull buoy	プルブイ
lyricism	リリシズム
threeblotched rabbitfish	スリーブロッチドラビットフィッシュ
gumbo	ガムボ
Jakarta	ジャガタラ
creatine	クレアチン
solar sail	ソーラーセイル
salad	サラダ
rammer	ランマー
cover glass	カバーガラス
clean	クリーン
violone	ヴィオローネ
Trimma halonevum	シリウスベニハゼ
parole	パロール
clomiphene	クロミフェン
skillful	スキルフル
lap	ラップ
network interface card	ネットワークインターフェースカード
realist	リアリスト
invisible	インビジブル
mayflower	メイフラワー
pastis	パスティス
single overhead camshaft	シングルオーバーヘッドカムシャフト
obbligato	オブリガート
passage	パッサージュ
real	リアル
boyish girl	ガルソンヌ
globalist	グローバリスト
number	ナンバー
developer	ディベロッパー
telework	テレワーク
mobile	モビール
planner	プランナー
oryx	オリックス
monetization	マネタイゼーション
flat race	フラットレース
Coca-Cola	コカコーラ
formaldehyde	ホルム
probit	プロビット
leprosy	レプラ
background music	バックグラウンドミュージック
bucket hat	バケットハット
orb	オーブ
confidence	コンフィデンス
Saudi Arabia	サウジ
Javanese long pepper	ピパーツ
access code	アクセスコード
positive	ポジティブ
Net2Phone	ネットツーフォン
Chilean flamingo	チリーフラミンゴ
assignment	アサインメント
soft power	ソフトパワー
Thai suki	タイスキ
black-headed monitor	トリスティスモニター
jeans	ジーンズパンツ
sastrugi	サスツルギ
C Bus	シーバス
active content	アクティブコンテンツ
contamination	コンタミ
color marking pen	カラーマーカー
big card	ビッグカード
AIX	エーアイエックス
product life cycle	プロダクトライフサイクル
erotica	エロチカ
floppy drive	フロッピードライブ
false moorish idol	ムレハタタテダイ
supplementary reader in a foreign language classroom	サイドリーダー
contingency	コンティンジェンシー
sky gray	スカイグレー
afternoon shadow	アフタヌーンシャドー
penalty throw	ペナルティースロー
shooting script	シューティングスクリプト
spirometer	スパイロメーター
working half the day at office, half the day from home	テレハーフ
military march	ミリタリーマーチ
misprint	ミスプリ
Burgess' butterflyfish	バージェスバタフライフィッシュ
naphthene	ナフテン
gig economy	ギグエコノミー
almond	アマンド
hinge	ヒンジ
keto	ケト
amir	アミール
touch	タッチ
warehouse store	ウエアハウスストア
thyristor	サイリスタ
Great Dane	グレートデン
jerkingly	ガクンガクン
mating call	メーティングコール
foods	フーズ
parachute	パラシュート
cap	キャップ
acclaim	アクレイム
shield room	シールドルーム
chiffon cake	シフォンケーキ
coleus	コリウス
courtesy	カーテシ
SCO	エスシーオー
overshoes	オーバーシューツ
choice	チョイス
cross-section	クロスセクション
exon	エクソン
pound	ポンド
spanner	スパナ
high-end model	ハイエンドモデル
zopiclone	ゾピクロン
Okinawa chromis	オビトウカイスズメダイ
dial out	ダイヤルアウト
trail runner	トレイルランナー
narratology	ナラトロジー
recommended route for tourists to follow	モデルコース
packaging	パッケージング
modular compilation	モジュラコンパイル
non-traditional tattoo	ファッションタトゥー
lost baggage	ロスバゲ
Grammy	グラミー
rightsizing	ライトサイジング
MEMMAKER	メムメーカー
Enhanced IDE	エンハンストアイディーイー
rasterizer	ラスタライザ
paper chromatography	ペーパークロマトグラフィー
waterjet	ウォータージェット
Alphard	アルファルド
chief officer	チーフオフィサー
having sex while on drugs	キメセク
ice dancing	アイスダンス
peptide	ペプチド
drop hammer	ドロップハンマー
snooze	スヌーズ
teletype	テレタイプ
germanium	ゲルマニウム
blood bank	ブラッドバンク
to caricature	カリカチュアライズ
phenomenon	フェノメノン
donor	ドナー
to make an all-night vigil	コムロ
papain	パパイン
steel collar worker	スチールカラー
oriental	イエローモンキー
double	ツーベース
quiz	クイズ
Cuba libre	キューバリバー
haka	ハカ
context-sensitive	コンテクストセンシティブ
back combing	バックコーミング
shaggy carpet	シャギーカーペット
Christmas	クリスマス
foul tip	ファウルチップ
track	トラック
dollhouse	ドールハウス
crown roast	クラウンロースト
protection	プロテクション
silver volunteer	シルバーボランティア
examination	テスト
spirit	エスプリ
anamnesis	アナムネーシス
message song	メッセージソング
floppy disk	フッロピーディスク
café curtain	カフェカーテン
online service	オンラインサービス
chocolatier	ショコラティエ
external	エクスターナル
robot car	ロボットカー
zirconia	ジルコニア
Habitat	ハビタット
cutting board	カッティングボード
shot glass	ショットグラス
Furmint	フルミント
DDX-P	ディーディーエックスピー
intercollegiate	インカレ
Gupta	グプタ
beater	ビーター
jacket type	ジャケットタイプ
trance party	トランスパーティー
cassette recorder	カセットレコーダー
pitch accent	ピッチアクセント
downlight	ダウンライト
Rus'	ルシ
diet	ダイエット
vehicle	ビヒクル
automatically responding with an upload slot to someone who allows you to download	カウ
tea set	ティーセット
finish	フィニッシュ
bicycle escalator	バイコレーター
audio amp	オーディオアンプ
are	アール
Indian curry	インドカレー
cigarette paper	シガレットペーパー
saddleback butterflyfish	セグロチョウチョウウオ
will	オンターデ
video buffer	ビデオバッファ
double hat-trick	ダブルハット
cotton	コットン
mode	モード
eye bolt	アイボルト
becoming stereotyped	マンネリズム
hot type	ホットタイプ
marron Chantilly	マロンシャンティ
August	オーガスト
air cargo	エアカーゴ
tainted	テイント
Singapore sling	シンガポールスリング
snowdrop	スノードロップ
regimental tie	レジメンタルタイ
zugzwang	ツークツワンク
scale	スケール
CinemaScope	シネマスコープ
decentralization	ディセントラリゼーション
European	ヨーロピアン
interlace	インターレース
users	ユーザーズ
PowerSoft	パワーソフト
in the slightest	ビタイチ
tire	タイア
earthy	アーシー
the spitting image of	クリソツ
process chart	プロセスチャート
cherub	チェラブ
Algiers	アルジェ
fresco	フラスコ
megaparsec	メガパーセク
asexual	アセクシャル
weak boson	ウィークボソン
Japanese bastard	チョッパリ
kvass	クワス
file handle	ファイルハンドル
gamelan	ガメラン
decanting	デカンタージュ
battery pack	バッテリパック
bathyscaphe	バチスカーフ
creeper	クリーパー
crimson lake	クリムソンレーキ
cardistry	カーディストリー
rap	ラップ
urostomy	ウロストミー
material balance	マテバラ
pavlova	パブロバ
Talmud	タルムード
Allen wrench	アレンレンチ
colistin	コリスチン
accelerator	アクセル
corkboard	コルクボード
ecocide	エコサイド
young woman who takes walks, etc. with male clients for a charge	ステッキガール
heterosis	ヘテロシス
building highjack	ビルジャック
Monastrell	モナストレル
corn	チーズドッグ
mad scientist	マッドサイエンティスト
rugged	ラギッド
siphon	サイフォン
vandalism	バンダリズム
Dakota	ダコタ
luau	ルアウ
meerkat	スリカータ
DEFCON	デフコン
physical fight	リアルファイト
tonic	トニック
snowboard	スノーボード
adult	アダルティ
partita	パルティータ
fiscal drag	フィスカルドラッグ
Developer2000	デベロッパーニセン
dioxolane	ジオキソラン
DEK	ディーイーケー
professional pachinko player	パチプロ
payroll card	ペイロールカード
archaesthetism	アーケステティズム
prerecording	プリレコーディング
minimal music	ミニマルミュージック
Darwinism	ダーウィニズム
autopoiesis	オートポイエーシス
speciation	スペシエーション
release	リリース
short iron	ショートアイアン
fair trade	フェアトレード
flower arrangement	フラワーアレンジメント
gluon	グルーオン
timeless	タイムレス
hurtful comment or abuse directed by a doctor to their patient	ドクターハラスメント
serration	セレーション
knee supporter	ニーサポーター
Liechtenstein	リヒテンシュタイン
Never give up!	ネバーギブアップ
chuckwalla	チャクワラ
camisole	キャミソール
rooibos tea	ルイボスティー
halfway	ハーフウェイ
mud	マッド
grass roots	グラスルーツ
overdose	オーバードーズ
alpha geek	アルファギーク
no outs	ノーダウン
Hozukius emblemarius	ホウズキ
corn salad	マーシュ
ramjet	ラムジェット
ortho	オルト
grounder	グラウンダー
escape key	エスケープキー
environmentally friendly farmer	エコファーマー
stopover	ストップオーバー
pilot project	パイロットプロジェクト
center spread	センタースプレッド
authoring system	オーサリングシステム
ensilage	エンシレージ
concert master	コンサートマスター
ski bus	スキーバス
heteroplasmy	ヘテロプラスミー
jihad	ジハード
used car	ユーズドカー
off-off-Broadway	オフオフブロードウェー
online game	ネットゲーム
monthly	マンスリー
activist	アクティビスト
roll crusher	ロールクラッシャー
traffic builder	トラフィックビルダー
a capriccio	アカプリッチオ
points paid and received at the end of a game of mahjong based on position	ウマ
zigzag demonstration	ジグザグデモ
template	テンプレ
checkvalve	チェックバルブ
psychedelic	サイケデリック
identification	アイデンティフィケーション
planet	プラネット
Diana	ディアーナ
gun club check	ガンクラブチェック
Tour de France	ツールドフランス
micromedia	マイクロメディア
dress rehearsal	ゲネプロ
methamphetamine	ポン
products	プロダクツ
German game	ドイツゲーム
road map	ドライブマップ
project tasks	プロジェクトタスク
Thimphu	ティンプー
risk-taking	リスクテイク
Herzegovina	ヘルツェゴビナ
furigana where kana is associated a whole compound	グループルビ
meld	メルド
viroid	ウイロイド
profile	プロフ
doublebar chromis	ダブルバークロミス
actual position	アクチュアルポジション
bourgeoisie	ブルジョワジー
demand	デマンド
spider	スパイダー
hands-on	ハンズオン
aurochs	オーロックス
academician	アカデミシャン
Lunfardo	ルンファルド
vegan	ヴィーガン
otaku obsessed with	ドルオタ
saffron	サフラン
car rental and lease	レンタリース
incrementalism	インクリメンタリズム
dressage	ドレッサージュ
chondroitin	コンドロイチン
ball umpire	ボールアンパイア
oven mitt	オーブンミトン
weblog	ウェブログ
anabolic steroids	アナボリックステロイド
joint venture	ジョイントベンチャー
chest pass	チェストパス
anthraquinone	アントラキノン
manuka	マヌカ
diagonal butterflyfish	レッドシーラクーンバタフライフィッシュ
suffragist	サフラジスト
circumflex accent	アクサンスィルコンフレックス
poor thing	カワイソス
Amoebozoa	アメーボゾア
flagship shop	フラグショップ
exhaust	エキゾースト
bar counter	バーカウンター
migrate	マイグレート
young women completely outfitted in Chanel clothing and accessories	シャネラー
timothy	チモシー
optical scanner	オプティカルスキャナ
think tanker	シンクタンカー
off-the-job training	オフザジョブトレーニング
diazodinitrophenol	ジアゾジニトロフェノール
conclave	コンクラーベ
ermine	アーミン
polio vaccine	ポリオワクチン
minaret	ミナレット
crested caracara	カラカラ
slalom	スラローム
asthenosphere	アセノスフェア
San Francisco	サンフランシスコ
Little Italy	リトルイタリー
chicory	チコリ
the way a bra fits	バストフィット
Konami Code	コナミコマンド
query	クエリー
occupy	アキュパイ
cut step	カットステップ
golf cart	ゴルフカート
cleric	クレリック
kala namak	カラナマック
compatible	コンパチブル
springtime	プランタン
punch card	パンチカード
Ancien Régime	アンシャンレジーム
bare look	ベアルック
zoea	ゾエア
rutin	ルチン
search engine	サーチエンジン
box seat	ボックスシート
printer cable	プリンタケーブル
three-way speaker	スリーウエースピーカー
unit	ユニット
one-stroke penalty	ワンペナ
emigration	エミグレーション
lanthanide	ランタニド
buffered	バッファード
happy life	ハッピーライフ
executor	エクスキューター
contredanse	コントルダンス
slide film	スライドフィルム
grayish	グレイッシュ
cylinder	シリンダー
mercantilism	マーカンティリズム
crossword puzzle	クロスワードパズル
creative	クリエーティブ
Jew's mallow	モロヘイヤ
Brazilian agouti	アグーチ
mouseover	マウスオーバー
welfare institutions, etc.	ハートピア
musical show	ミュージカルショー
cassette deck	カセットデッキ
fine chemical	ファインケミカル
tile	タイル
analog switch	アナログスイッチ
quena	ケーナ
dry area	ドライエリア
synopsis	シノプシス
individual	インディビジュアル
barred filefish	ハクセイハギ
cable matcher	ケーブルマッチャー
phenylketon(uria)	フェニールケトン
hyperinflation	ハイパーインフレーション
pearlscale butterflyfish	アミメチョウチョウウオ
krypton	クリプトン
cutout	カットアウト
radiation	ラジエーション
fiberscope	ファイバースコープ
downshift	ダウンシフト
microchannel architecture	マイクロチャネルアーキテクチャ
rapper	ラッパー
overloading	オーバーローディング
camping trailer	キャンピングトレーラー
gazpacho	ガスパチョ
balloon	バルーン
heat up	ヒートアップ
null modem	ヌルモデム
data field	データフィールド
implication	インプリケーション
jackass	ジャッカス
sombrero	ソンブレロ
mifepristone	ミフェプリストン
virtual circuit	バーチャルサーキット
lahar	ラハール
player character	プレイヤーキャラクター
Oxford	オックスフォード
kitchenware	キッチンウエア
trade-in	トレードイン
plasmon	プラズモン
studio	スタジオ
finance	ファイナンス
hooded jacket	ヤッケ
roast	ロースト
super-rotation	スーパーローテーション
French bulldog	フレブル
northern snakehead	カムルチー
human ecology	ヒューマンエコロジー
touch panel	タッチパネル
refinance	リファイナンス
New Zealand	ニュージー
third, fourth, and fifth batters	クリーンアップトリオ
trip meter	トリップメーター
aquamarine	アクアマリン
reamer	リーマー
dinner dress	ディナードレス
globulin	グロブリン
Smilodon	スミロドン
Segway	セグウエー
white beech mushroom	ブナピー
tatting	タッチング
property bag	プロパティバッグ
television camera	テレビカメラ
comfort bike	コンフォートバイク
memorable	メモラブル
lawrencium	ローレンシウム
group chat	グルチャ
spur gear	スパーギア
square	スクウェア
bang	バン
animal trainer	アニマルトレーナー
bioceramics	バイオセラミックス
swimming pool	スイミングプール
Camarasaurus	カマラサウルス
ton-kilometer	トンキロ
isomalt	イソマルト
balls	タマキン
account executive	アカウントエグゼクティブ
heliostat	ヘリオスタット
the three Rs	スリーアールズ
card system	カードシステム
norovirus	ノロ
setting	セッティング
hotplate	ホットプレート
instrumentalism	インストルメンタリズム
allozyme	アロザイム
clothing	クロージング
CTERM	シーターム
no-run stockings	ノーランストッキング
stuffed olives	スタッフドオリーブ
roadshow	ロードショー
First Kitchen	ファーストキッチン
peak	ピーク
application processor	アプリケーションプロセッサ
scraper	スクレーパー
zone defense	ゾーンディフェンス
buffering level	バッファリングレベル
nutria	ヌートリア
meter	メーター
credit risk	クレジットリスク
vertigo	バーティゴ
hair lotion	ヘアローション
orbfish	マンジュウダイ
colobus	コロブス
Rube Goldberg machine	ルーブゴールドバーグマシン
Tomini surgeonfish	トミニサージョンフィッシュ
vanillin	バニリン
cancellation policy	キャンセルポリシー
trencher	トレンチャー
emulator	エミュレータ
new media art	メディアアート
porcelain art	ポーセラーツ
fixative	フィキサチーフ
mobile website	モバイルサイト
law	ロー
available bit rate	アベイラブルビットレイト
memory leak	メモリリーク
heading	ヘディング
Lambda rocket	ラムダロケット
rookie	ルーキー
yard	ヤール
homocysteine	ホモシステイン
font	フォント
dent corn	デントコーン
accessing	アクセッシング
library routine	ライブラリルーチン
trade show	トレードショウ
blind date	ブラインドデート
on-deck circle	ネクストバッターズサークル
Bartlett	バートレット
flight recorder	フライトレコーダー
G-mark	ジーマーク
governability	ガバナビリティー
maternity bra	マタニティブラ
Ezweb	イージーウェブ
Christmas pudding	プラムプディング
ombudsperson	オンブズパースン
home terminal	ホームターミナル
camptosaurus	カンプトサウルス
out of place artifact	オーパーツ
Vilnius	ビリニュス
short-sleeved dress shirt	ホンコンシャツ
unique visitor	ユニークビジター
Commonwealth	コモンウェルス
object modeling tool	オブジェクトモデリングツール
rutabaga	ルタバガ
flehmen	フレーメン
Regent hairstyle	リーゼントスタイル
cost per thousand	コストパーサウザンド
exhaust pipe	エキゾーストパイプ
analog speedometer	アナログスピードメーター
neology	ネオロジー
Cyrix	サイリックス
arduous	アージュアス
dragon boat	ドラゴンボート
cut sheet	カットシート
chesterfield	チェスターフィールド
Prosecco	プロセッコ
painting software	ペインティングソフトウェア
splash	スプラッシュ
regatta	レガッタ
daisy	デイジー
rim-shot	リムショット
tack	タック
jail	ジェイル
torrent	トレント
division	ディビジョン
Italian	イタリアン
longsnout butterflyfish	ロングスナウトバタフライフィッシュ
underpants	パンツ
synthesizer	シンセサイザー
polyethylene bathtub	ポリバス
VM	ブイエム
Menshevik	メンシェヴィキ
to dedicate	デディケート
thread	スレ
trick	トリック
root window	ルートウィンドウ
EDUCOM	エデュコム
access panel	アクセスパネル
misclick	クリックミス
allophane	アロフェン
carnation	アンジャベル
NewCOARA	ニューコアラ
lens shutter	レンズシャッター
dreamy	ドリーミー
open-floor	オープンフロア
programmable	プログラマブル
proteome	プロテオーム
primary care	プライマリーケア
shordarvision	ショーダービジョン
cocker spaniel	コッカースパニエル
carbon rod	カーボンロッド
hound's-tooth check	ハウンドトゥースチェック
salty liquorice	サルミアッキ
Pretoria	プレトリア
green belt	グリーンベルト
to mistype	ミスタイプ
outdoor living	アウトドアリビング
titanium	チタン
chamber music	チェンバーミュージック
crossed Nichol prism	クロスニコル
arbitrage	アービトラージ
isopentane	イソペンタン
dot file	ドットファイル
virtual memory	バーチャルメモリー
primrose	プリムローズ
anode	アノード
tutorial	チュートリアル
look	ルック
tunic coat	チュニックコート
directory	ディレクトリ
archival file	アーカイバルファイル
potassium	カリウム
trousers	トラウザーズ
Gothic	ゴシック
big event	ビッグイベント
café inside a famous-brand design or fashion shop	ブランドカフェ
skiboard	ファンスキー
keyhole journalism	キーホールジャーナリズム
miler	マイラー
poly-	ポリ
one's own car	マイカー
cookie	クッキー
benzodiazepine	ベンゾジアゼピン
shut up!	シャラップ
cutch	カッチ
fanaticism	ファナティシズム
scalp	スカルプ
nomination	ノミネーション
cornflour	コーンフラワー
amethyst	アメシスト
enantio	エナンチオ
risk control	リスクコントロール
screw eye	ヒートン
fagot-stitch	ファゴッティングステッチ
ao dai	アオザイ
before-sale service	ビフォアサービス
bracket	ブラケット
distance race	ディスタンスレース
super woofer	スーパーウーファー
Aulonocara koningsi	コニングシ
cold type	コールドタイプ
pilaf	ピラフ
table tennis	テーブルテニス
frame sequence	フレームシーケンス
modulo	モジュロ
voodoo	ブードゥー
blunt snout gregory	ハナナガスズメダイ
coquetterie	コケットリー
mentalistic	メンタリスティック
walk rally	ウォークラリー
catalogue raisonné	カタログレゾネ
Clipper Chip	クリッパーチップ
cash	キャッシュ
chip shot	チップショット
schedule	スケジュール
hymn	ヒム
activism	アクティビズム
luminol	ルミノール
slender bambooshark	テンジクザメ
front buffer	フロントバッファ
hairpiece	ヘアピース
Jolly Roger	ジョリーロジャー
manage	マネージ
vent	ベンツ
mirror server	ミラーサーバー
orchestration	オーケストレーション
knuckle guard	ナックルガード
presentation	プレゼンテーション
Gulag	グーラグ
heater	ストーブ
tyramine	チラミン
pale fox	オグロスナギツネ
gallery	ガレリー
core curriculum	コアカリキュラム
windmill	ウィンドミル
strangeness	ストレンジネス
compressed gas cylinder	ボンベ
NIST	エヌアイエスティー
combined race	コンバインドレース
boy soprano	ボーイソプラノ
orchid	オーキッド
syllabus	シラバス
DCNA	ディーシーエヌエー
asphalt shingle	アスファルトシングル
lemon tea	レモンティー
code-sensitive	コードセンシティブ
motivation	モチ
sweet grapefruit-like citrus fruit	オロブロンコ
réseau	レゾー
zebra goby	オスジイソハゼ
email newsletter	メールマガジン
altiplano	アルティプラノ
copy program	コピープログラム
self-medication	セルフメディケーション
neon tetra	ネオンテトラ
Dutchman	ダッチマン
mass sale	マスセール
highlife	ハイライフ
bagatelle	コリントゲーム
bowler hat	ボーラーハット
ayatollah	アヤトラ
linkage	リンケージ
microscopic	マイクロスコピック
second wind	セカンドウインド
terabyte	テラバイト
very	ベリー
clothes for wearing near home	ワンマイルウェア
study	スタディー
museum	ミュージアム
wristband	リストバンド
bucket	バケツ
pigtails	ツインテ
gas heater	ガスストーブ
scent hound	セントハウンド
front-end processor	フロントエンドプロセッサ
jamais vu	ジャメヴュ
all-terrain vehicle	バギー
clinch	クリンチ
potlatch	ポトラッチ
metabolic syndrome	メタボ
on	オン
financial planner	ファイナンシャルプランナー
gumbo	ガンボ
financier	フィナンシェ
Hispanic America	イスパノアメリカ
number of batters already out	アウトカウント
liver sausage	レバーソーセージ
vacuum cleaner	バキュームクリーナー
hydra	ヒュドラ
selfie stick	セルフィースティック
assistant director	アシスタントディレクター
multiservice	マルチサービス
Quebec	ケベック
woodchip course	ウッドチップコース
cold perm	デザインパーマ
bisexuality	バイセクシュアリティ
banjo	バンジョー
Thalassoma cupido	ニシキベラ
bulk carrier	バルクキャリア
technical center	テック
seeing-eye dog	アイメイト
opportunity	オポチュニティー
aluminium and sicilicum alloy	シルミン
Lezginka	レズギンカ
corner cube	コーナーキューブ
épée	エペ
touch football	タッチフットボール
null	ヌル
portmanteau	ポートマントー
duct	ダクト
acting	アクティング
Rosetta stone	ロゼッタストーン
baby leaf	ベビーリーフ
sericin	セリシン
meal	エッセン
counterintelligence	カウンターインテリジェンス
peseta	ペセタ
velociraptor	ヴェロキラプトル
raster font	ラスタフォント
gas heat pump	ガスヒーポン
universe	ユニバース
pasteurella	パスツレラ
business model	ビジネスモデル
Korea	コリア
road service	ロードサービス
leaven	ルヴァン
isostasy	アイソスタシー
Blauburgunder	ブラウブルグンダー
dummy	ダミー
out-of-date	アウトオブデート
parmesan	パルメザン
IAB	アイエービー
parade	パレード
whiting	ホワイティング
hartebeest	ハーテビースト
limelight	ライムライト
hand-held scanner	ハンドヘルドスキャナ
the left and the right	ウヨサヨ
halberd	ハルバード
talc	タルク
cooling fan	クーリングファン
codex	コデックス
boat	バッテラ
limit gauge	リミットゲージ
matrix	マトリックス
boxing glove	ボクシンググローブ
anime otaku	アニオタ
body board	ボディーボード
gravure ink	クラビアインキ
P5	ピーゴ
duo	デュオ
fan-jet	ファンジェット
cooler box	クーラーボックス
dot pitch	ドットピッチ
green chromis	グリーンクロミス
typographer	タイポグラファー
conservative	コンサバティブ
wide-angle lens	ワイドレンズ
billionaire	ビリオネア
message file	メッセージファイル
regulator	レギュレーター
MME	エムエムイー
Hugh's hedgehog	モリハリネズミ
computer output microfilm system	コム
host mother	ホストマザー
file collection	ファイルコレクション
kick scooter	キックボード
water	ウォーター
shoulder bacon	ショルダーベーコン
use case	ユースケース
stripe-tailed Goanna	マルガヒメオオトカゲ
graphics software	グラフィックソフトウェア
turtle	タートル
southern soul	サザンソウル
very quick	ウィキウィキ
slot machine in a pachinko parlor	パチスロ
seat belt	シートベルト
touch typing	タッチタイピング
decimal tab	デシマルタブ
soft candy	ソフトキャンディ
disaster film	パニックムービー
estrogen	エストロゲン
lauramidopropyl beitaine	ラウラミドプロピルベタイン
back-propagation	バックプロパゲーション
fettucine	フェットチーネ
rhythm	リズム
order entry system	オーダーエントリーシステム
nautical mile	ノーティカルマイル
neckerchief	ネッカチーフ
Queensland pygmy goby	ホシヒレイソハゼ
street view	ストリートビュー
grant element	グラントエレメント
green beret	グリーンベレー
carcass	カーカス
cocktail party	カクテルパーティー
Negrito	ネグリト
traffic	ラフィック
custom properties dialog box	カスタムプロパティダイアログボックス
starting lineup	スターティングメンバー
A Programming Language	アプル
aqua	アクア
DARPA	ダルパ
woodcraft	ウッドクラフト
zoetrope	ゾートロープ
highway	ハイウエー
animalism	アニマリズム
snus	スヌース
nomenklatura	ノーメンクラツーラ
Novell	ノヴェル
therapy	セラピー
hotteok	ホットク
lamestream media	カスゴミ
Japanese butterflyfish	シラコダイ
blow-drying	ブロー
photino	フォティーノ
geology	ジオロジー
half-size camera	ハーフサイズカメラ
tooltip	ツールヒント
concessionary chain	コンセショナリーチェーン
evangelist	エバンジェリスト
cinnabar goatfish	タカサゴヒメジ
marmoset	マーモセット
surnay	スルナーイ
Tamil	タミル
key station	キーステーション
plain text	プレーンテキスト
